,Aug-AII Rank-Diff,Title,Augmentation Rank,AII Rank,Aug-AII Rank-Diff
0,639,Crematory Operators,2,641,639
1,636,"Stone Cutters and Carvers, Manufacturing",6,642,636
2,634,"Insulation Workers, Floor, Ceiling, and Wall",10,644,634
3,634,Sailors and Marine Oilers,9,643,634
4,633,Tapers,12,645,633
5,632,Barbers,14,646,632
6,606,Timing Device Assemblers and Adjusters,41,647,606
7,599,Actors,50,649,599
8,599,Funeral Attendants,49,648,599
9,597,Foundry Mold and Coremakers,53,650,597
