                                                                                               occupation  A0  A1  A2  A3  A4  total
                                                                            Physical Therapist Assistants   9   3   4   1   1     18
                                                           First-Line Supervisors of Passenger Attendants   0   0   2  13   3     18
                                                        Wholesale and Retail Buyers, Except Farm Products   0   0   4  11   3     18
                                               Human Resources Assistants, Except Payroll and Timekeeping   0   0   5  12   1     18
                                                         Mobile Heavy Equipment Mechanics, Except Engines   7   2   3   5   1     18
                                                                  Meeting, Convention, and Event Planners   1   0   7   8   2     18
                                                                          Security Management Specialists   1   0   1  16   0     18
                 First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services   0   2   7   8   1     18
                                                                                        Anesthesiologists   2   0   0  16   0     18
                                                                      Hazardous Materials Removal Workers   4   1   4   8   1     18
                                                                                      Sheet Metal Workers   8   3   4   2   1     18
                                                                    Computer Systems Engineers/Architects   0   0   1   7  10     18
                                                                                       Nurse Anesthetists   3   1   1  12   1     18
                                                                                      Helpers--Carpenters   7   3   4   4   0     18
                                 Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic   3   5   2   7   1     18
                                Electrical and Electronics Repairers, Commercial and Industrial Equipment   3   4   4   5   2     18
                                                                                             Electricians   8   3   2   4   1     18
                                                                                      Purchasing Managers   0   0   1  12   5     18
                                                                                     Radiation Therapists   3   1   1  12   1     18
                                                                         Administrative Services Managers   0   0   3  10   5     18
                                                                     General Internal Medicine Physicians   2   0   0  15   1     18
                                                                                   Office Clerks, General   1   1   7   3   6     18
                                                                   Electronics Engineers, Except Computer   0   0   0  11   7     18
                                           Purchasing Agents, Except Wholesale, Retail, and Farm Products   2   0   0  12   4     18
                                                                Office Machine Operators, Except Computer   3   7   4   0   4     18
                                                                     Construction and Building Inspectors   2   1   4  11   0     18
                                                                Automotive Glass Installers and Repairers  11   3   2   2   0     18
                                                                             Public Relations Specialists   0   0   3  13   2     18
                                                                                   Respiratory Therapists   4   5   5   4   0     18
                                                                                  Naturopathic Physicians   5   1   2   8   1     17
                                                                                           Sales Managers   1   0   2  11   3     17
                                                                                              Pharmacists   0   1   0  16   0     17
                                                                                           Nurse Midwives   3   1   2  11   0     17
                                                                                 Physical Therapist Aides   9   4   2   1   1     17
                                                                                      Petroleum Engineers   0   0   1  14   2     17
                                       Rolling Machine Setters, Operators, and Tenders, Metal and Plastic   6   1   3   7   0     17
                                                                      Rotary Drill Operators, Oil and Gas  11   1   0   4   1     17
                                                              Production, Planning, and Expediting Clerks   0   1   3   6   7     17
                                                                                     Skincare Specialists   7   3   5   2   0     17
                                                                      Service Unit Operators, Oil and Gas   6   0   3   7   1     17
                                                                                Transportation Inspectors   1   1   5   9   1     17
                                                       Paving, Surfacing, and Tamping Equipment Operators   7   4   0   6   0     17
                                                                              Parking Enforcement Workers   5   4   4   4   0     17
                                                                       Shoe Machine Operators and Tenders   0   8   3   6   0     17
                                                                                   Microsystems Engineers   2   0   4   7   4     17
                                                                   Painters, Construction and Maintenance   5   6   4   2   0     17
                                                                           Maintenance Workers, Machinery   5   3   6   3   0     17
                                                                   Timing Device Assemblers and Adjusters   8   5   3   0   1     17
                                                  Textile Cutting Machine Setters, Operators, and Tenders   3   2   3   7   2     17
                                                                     Medical and Health Services Managers   0   0   1  15   1     17
                                                      Packaging and Filling Machine Operators and Tenders   1   1   4   9   2     17
                                                                        Tank Car, Truck, and Ship Loaders   5   1   2   8   1     17
                                                                                   Mechatronics Engineers   0   1   1   8   7     17
                                                                                            Statisticians   0   0   1   1  15     17
                                                                 Recreational Vehicle Service Technicians   7   1   6   3   0     17
                                                                                          Animal Breeders  10   0   2   3   2     17
                                                                                      Financial Examiners   0   0   0  12   5     17
                                                                                         Gambling Dealers   3   5   2   6   1     17
                                                                                  Bridge and Lock Tenders   3   3   1   9   1     17
                                                                                              Astronomers   0   0   3   7   7     17
                                                                                      Bus Drivers, School   6   1   3   4   3     17
                                                       First-Line Supervisors of Non-Retail Sales Workers   1   0   3  10   3     17
                                                                             Business Continuity Planners   0   0   1  12   4     17
                                                                                     Industrial Engineers   0   0   0   8   9     17
                                                           Computer Numerically Controlled Tool Operators   0   3   3   9   2     17
                                               First-Line Supervisors of Production and Operating Workers   0   0   1  12   4     17
                                Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders   1   6   1   8   1     17
                                                                                             Boilermakers  12   1   0   4   0     17
                      Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic   3   3   6   5   0     17
                                                 Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop   3   3   7   2   2     17
                                                                                    Gambling Cage Workers   1   2   3  11   0     17
                                                                                         Helpers--Roofers  15   1   1   0   0     17
                                                                                    Correspondence Clerks   0   0   3   6   8     17
                                                                                            Cardiologists   4   0   1  12   0     17
                              Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders   2   4   3   7   1     17
                                                                                      Fuel Cell Engineers   1   0   2  12   2     17
                                                                                       Financial Managers   0   0   1  13   3     17
                                                                                               Concierges   5   3   2   5   2     17
                                                                               Bioinformatics Technicians   0   0   0   4  13     17
                                            Education and Childcare Administrators, Preschool and Daycare   1   0   1  12   3     17
                                             Coin, Vending, and Amusement Machine Servicers and Repairers   6   6   2   1   2     17
                                                                                                  Fallers  15   1   1   0   0     17
                                                                                       Genetic Counselors   0   0   5  12   0     17
                                                                                   Clinical Data Managers   0   0   1  13   3     17
                                                                                        Dentists, General  10   0   0   5   2     17
                                                                                           Dermatologists   5   2   2   8   0     17
                                                          Elevator and Escalator Installers and Repairers  12   1   0   3   1     17
                                                            Eligibility Interviewers, Government Programs   0   3   2  10   2     17
                                           Biofuels/Biodiesel Technology and Product Development Managers   0   0   0  14   3     17
                                                                                   Geothermal Technicians   6   2   4   2   2     16
                                                                                     Fundraising Managers   0   0   2  10   4     16
                                                                 Stone Cutters and Carvers, Manufacturing   8   2   4   2   0     16
                                                                                                   Tapers   8   6   1   1   0     16
                                                                                        Graphic Designers   0   0   6   0  10     16
                                                                                       Survey Researchers   0   0   4   7   5     16
                                                                                              Stonemasons  14   2   0   0   0     16
                                                                          Substitute Teachers, Short-Term   4   6   4   1   1     16
                                                                           Geothermal Production Managers   2   0   1  12   1     16
                                                                                Natural Sciences Managers   0   0   2  10   4     16
                                                                                             Neurologists   1   1   2  11   1     16
                                                                                      Compliance Officers   0   0   1  14   1     16
                                                                      Amusement and Recreation Attendants   3   4   4   4   1     16
                                                                Computer and Information Systems Managers   0   0   1  11   4     16
                                                                                   Animal Control Workers   6   2   2   6   0     16
                                                                 Credit Authorizers, Checkers, and Clerks   0   2   1  11   2     16
                                                                          Forest and Conservation Workers  11   1   2   2   0     16
                                                                    Poets, Lyricists and Creative Writers   1   0   1   1  13     16
                                                                     Receptionists and Information Clerks   0   2   4   3   7     16
                                                                          Document Management Specialists   0   0   2   6   8     16
                                                                          Diagnostic Medical Sonographers   5   4   3   3   1     16
                                                                                        Psychiatric Aides   7   4   3   2   0     16
                                                                                Rehabilitation Counselors   0   1  10   5   0     16
                                                                                          Epidemiologists   0   0   1  14   1     16
                         Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic   0   5   3   7   1     16
                Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers   2   7   1   5   1     16
                                                                                       Robotics Engineers   0   0   0  14   2     16
                                                                    Fiberglass Laminators and Fabricators   6   3   1   5   1     16
                                                                            Solar Photovoltaic Installers   2   3   3   7   1     16
                                                                                      School Bus Monitors   6   4   4   2   0     16
                                                                                 Physicians, Pathologists   1   0   0  15   0     16
                                                       First-Line Supervisors of Personal Service Workers   0   0   3  12   1     16
                                                               First-Line Supervisors of Security Workers   0   0   2  14   0     16
                                                                             Baggage Porters and Bellhops   8   4   1   1   2     16
                                                                                   Pediatricians, General   3   0   1  12   0     16
                                                                    Social and Community Service Managers   0   0   4  12   0     16
                                                                                Counter and Rental Clerks   2   2   6   2   4     16
                                                     Cooling and Freezing Equipment Operators and Tenders   2   6   2   6   0     16
                                                                             Health Education Specialists   0   1   3   8   4     16
                                                                                           Range Managers   1   0   4  11   0     16
                                                                           Business Intelligence Analysts   0   0   3   1  12     16
                                                                                   Biological Technicians   2   2   4   7   1     16
                                                                             Biomass Power Plant Managers   2   0   1  12   1     16
                                                                                            Travel Guides   4   0   5   5   2     16
                                                                                     Chemical Technicians   0   1   0  12   3     16
                                                              Title Examiners, Abstractors, and Searchers   0   0   1  15   0     16
                                                                    Tool Grinders, Filers, and Sharpeners   3   7   1   5   0     16
                                                                                           Acupuncturists   5   5   2   4   0     16
                                                                      Chemical Plant and System Operators   1   2   0  12   1     16
                                                                                      Traffic Technicians   5   1   3   6   1     16
                                                                                        Carpet Installers  12   2   2   0   0     16
                                                                        Hydroelectric Production Managers   0   1   0  15   0     16
                                                                          Wind Energy Operations Managers   0   0   3   9   4     16
                                                                             Loan Interviewers and Clerks   0   2   0  12   2     16
                                     Textile Knitting and Weaving Machine Setters, Operators, and Tenders   3   0   2  10   1     16
                                                                              Word Processors and Typists   0   3   1   1  11     16
                                                                                       Parts Salespersons   1   2   6   4   2     15
                                                                                                 Curators   0   1   7   6   1     15
                                                                           Marriage and Family Therapists   0   1   7   7   0     15
                                                                                            Craft Artists   5   3   3   1   3     15
                                                                                         Floral Designers   3   5   4   1   2     15
                                                                                             Sociologists   0   1   2   6   6     15
                                              Mixing and Blending Machine Setters, Operators, and Tenders   1   5   3   3   3     15
                                                                                        Home Health Aides  10   0   2   3   0     15
                                                                 Solar Thermal Installers and Technicians   8   2   4   1   0     15
                                                                                   Hydrologic Technicians   4   0   1   5   5     15
                                                                         Cooks, Institution and Cafeteria   1   3   6   3   2     15
                                                                    Orthopedic Surgeons, Except Pediatric   3   1   1  10   0     15
                                                                      Continuous Mining Machine Operators   8   1   0   6   0     15
                                                                              Bill and Account Collectors   0   0   1  13   1     15
                                                        Forest Fire Inspectors and Prevention Specialists   4   3   1   7   0     15
                                                                                            Art Directors   1   0   5   4   5     15
                                                                     Semiconductor Processing Technicians   1   1   1  11   1     15
                                                                         Ophthalmic Medical Technologists   2   3   4   6   0     15
                                                                               Digital Forensics Analysts   0   0   0  13   2     15
                                                                                  Psychiatric Technicians   3   1   5   6   0     15
                        Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic   1   3   7   4   0     15
                                                                               Remote Sensing Technicians   1   1   4   1   8     15
                                           Reservation and Transportation Ticket Agents and Travel Clerks   1   0   1   4   9     15
                                                   Entertainment and Recreation Managers, Except Gambling   1   2   3   5   4     15
                                                                                Biomass Plant Technicians   1   1   6   6   1     15
                                    Excavating and Loading Machine and Dragline Operators, Surface Mining   5   1   1   8   0     15
                                                                               Pourers and Casters, Metal   4   2   1   7   1     15
                                                                                        Dental Hygienists  10   2   0   1   2     15
                                                                                  Database Administrators   0   1   1   8   5     15
                                                                                       Interior Designers   1   1   5   6   2     15
             Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products   0   2   4   8   1     15
                                                           Airline Pilots, Copilots, and Flight Engineers   1   1   0  13   0     15
                                                                             Plasterers and Stucco Masons  14   1   0   0   0     15
                                                                                                Actuaries   0   0   0  12   3     15
                                                                                              File Clerks   0   1   7   2   5     15
                                                                           Information Security Engineers   0   0   0  14   1     15
                                                                               Cutters and Trimmers, Hand   4   6   0   2   3     15
                                                                       Ophthalmologists, Except Pediatric   1   0   2  12   0     15
                                                            Umpires, Referees, and Other Sports Officials   0   2   1   8   4     15
                                                                          General and Operations Managers   1   0   0  12   2     15
                                                                                         Talent Directors   0   2   5   6   2     15
                                             Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters  12   1   1   1   0     15
                                                   Helpers--Installation, Maintenance, and Repair Workers   6   4   1   2   2     15
                                                                                                   Bakers   2   3   5   2   3     15
                                                                      Commercial and Industrial Designers   1   0   3   6   5     15
                              Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters   7   6   2   0   0     15
                                                           Glass Blowers, Molders, Benders, and Finishers   5   3   0   5   2     15
                                                                                        Commercial Pilots   1   1   0  12   1     15
                                                                                          Civil Engineers   0   0   1  14   0     15
                                                                                        Technical Writers   0   1   2   2  10     15
                                                                            Motion Picture Projectionists   2   5   3   1   4     15
                                                                     Grinding and Polishing Workers, Hand   4   8   1   1   1     15
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic   0   5   3   5   2     15
                                                                                Healthcare Social Workers   0   0   7   7   1     15
                                                                           Health Informatics Specialists   1   0   2  10   2     15
                                                                                      Gas Plant Operators   2   1   1  11   0     15
                                                                               Occupational Therapy Aides   5   2   5   2   1     15
                                                                        Computer User Support Specialists   1   1   5   2   6     15
                                                                             Operations Research Analysts   0   0   1   3  11     15
                                                                                  Occupational Therapists   5   0   5   4   1     15
                                                                                       Medical Assistants   4   2   3   5   1     15
                                                                                                  Riggers  11   1   0   2   0     14
                                                                                      Motorboat Operators   6   0   2   6   0     14
                                               Weighers, Measurers, Checkers, and Samplers, Recordkeeping   1   1   4   4   4     14
                                                                                                 Bailiffs   9   2   0   3   0     14
                                                                           Preventive Medicine Physicians   0   0   0  12   2     14
                                                             Appraisers of Personal and Business Property   1   0   3   8   2     14
                                                                Interviewers, Except Eligibility and Loan   1   1   5   5   2     14
                                                                                             Hospitalists   0   1   1  11   1     14
                                                                             Interpreters and Translators   0   1   4   1   8     14
                                                                           Derrick Operators, Oil and Gas   9   0   1   4   0     14
                                                                                     Roof Bolters, Mining   6   2   1   5   0     14
                                            Administrative Law Judges, Adjudicators, and Hearing Officers   0   0   0  14   0     14
                                                                                     Political Scientists   0   0   1   7   6     14
                                                         Farm Equipment Mechanics and Service Technicians   6   3   2   3   0     14
                                                                                      Software Developers   0   0   1   4   9     14
                                                               Police Identification and Records Officers   3   1   1   9   0     14
                                                                                     Robotics Technicians   2   1   3   5   3     14
                                                                                          Energy Auditors   0   0   7   4   3     14
                                                                       Farm and Home Management Educators   1   1   6   2   4     14
                                                                                       Model Makers, Wood   5   3   5   1   0     14
                                Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers   8   2   0   4   0     14
                                                           Electrical and Electronic Equipment Assemblers   1   5   1   6   1     14
                                                                                      Real Estate Brokers   0   1   3  10   0     14
                                                        Radio Frequency Identification Device Specialists   1   0   4   2   7     14
                            Electrical and Electronics Installers and Repairers, Transportation Equipment   8   1   2   2   1     14
                                                                          Biofuels Processing Technicians   1   0   2  11   0     14
                                       Mining and Geological Engineers, Including Mining Safety Engineers   0   0   0  13   1     14
                                                                        Recycling and Reclamation Workers   5   0   2   7   0     14
                                                                                  Agricultural Inspectors   1   0   0  13   0     14
                                                                                             Taxi Drivers   2   4   3   5   0     14
                                                                            Medical Appliance Technicians   6   2   1   5   0     14
                                                                       Automotive Engineering Technicians   2   1   2   7   2     14
                                                                          Oral and Maxillofacial Surgeons  10   0   0   4   0     14
                                                                         Wind Energy Development Managers   0   0   0  14   0     14
                                                                                        Bicycle Repairers   6   4   1   2   1     14
                                                             Computer and Information Research Scientists   0   0   0   6   8     14
                                                                                       Geodetic Surveyors   0   0   3   8   3     14
                                                                                   Statistical Assistants   0   0   3   1  10     14
                                                  Health Information Technologists and Medical Registrars   0   0   0  12   2     14
                                                                                       Histotechnologists   4   0   4   5   1     14
                                                                                      Penetration Testers   1   0   1  11   1     14
                                                                                           Ship Engineers   5   0   2   5   2     14
                                                                                       Massage Therapists  10   1   1   1   1     14
                                                             Automotive and Watercraft Service Attendants   4   4   2   1   3     14
                                                                                      Nuclear Technicians   0   0   0  14   0     14
                                                                                   Surgical Technologists   8   0   1   5   0     14
                                                                             Allergists and Immunologists   2   0   0  11   1     14
                                                                           Climate Change Policy Analysts   0   0   0   8   6     14
                                                                                      New Accounts Clerks   0   1   3   9   1     14
                                                         Manufactured Building and Mobile Home Installers  12   0   1   1   0     14
                                                                          Obstetricians and Gynecologists   2   0   3   9   0     14
                                     First-Line Supervisors of Construction Trades and Extraction Workers   0   1   3  10   0     14
                                                        Floor Layers, Except Carpet, Wood, and Hard Tiles   9   3   2   0   0     14
                                                                                     Materials Scientists   0   0   5   6   3     14
                                                                                                  Dancers  11   2   1   0   0     14
                                                                               Sustainability Specialists   0   1   0   9   4     14
                                                                              Helpers--Extraction Workers   9   3   0   2   0     14
                                                                                               Pipelayers   9   0   4   1   0     14
                                                                                       Parking Attendants   4   5   3   2   0     14
                                                                                    Opticians, Dispensing   3   3   4   2   2     14
                                                                                 Food Science Technicians   0   0   3   9   2     14
                                                          Civil Engineering Technologists and Technicians   1   0   3   8   2     14
                                                                                          Cost Estimators   1   0   2   3   8     14
                                                             Gambling and Sports Book Writers and Runners   2   4   0   7   1     14
                                                                              Brickmasons and Blockmasons  10   1   1   0   2     14
                                        Agents and Business Managers of Artists, Performers, and Athletes   0   0   5   8   1     14
                                                                                Watch and Clock Repairers   5   4   2   2   1     14
                                                                Calibration Technologists and Technicians   2   1   4   3   3     13
                                                                             Biofuels Production Managers   0   0   1  11   1     13
                                                                Refuse and Recyclable Material Collectors   5   3   0   3   2     13
                                                                                     Computer Programmers   0   0   1   2  10     13
                                                                                   Agricultural Engineers   1   0   0  10   2     13
                                                                         Customer Service Representatives   0   0   3   5   5     13
                                                                                     Dietetic Technicians   0   0   6   5   2     13
                                                                       Solar Energy Installation Managers   1   0   1  10   1     13
                                                                              Computer Hardware Engineers   0   0   1   8   4     13
                                                                           Conveyor Operators and Tenders   5   2   1   4   1     13
                                                               Security and Fire Alarm Systems Installers   4   1   5   2   1     13
                                                                                          Budget Analysts   0   0   1   8   4     13
                                                       Switchboard Operators, Including Answering Service   1   1   2   1   8     13
                                                                         Agricultural Equipment Operators   4   2   1   6   0     13
                                                                                     Blockchain Engineers   0   0   1   5   7     13
                                                                              Clinical Neuropsychologists   0   0   7   5   1     13
         Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel   0   1   1   8   3     13
                                                                                          Data Scientists   0   0   1   4   8     13
                                                                                 Cooks, Private Household   5   2   4   0   2     13
                                                                       Zoologists and Wildlife Biologists   3   1   2   5   2     13
                                                                          Model Makers, Metal and Plastic   4   4   1   3   1     13
                                                                              Foundry Mold and Coremakers   6   2   0   5   0     13
                                                                        Ophthalmic Laboratory Technicians   5   3   2   2   1     13
                                                                            Emergency Medicine Physicians   2   0   0  11   0     13
                                                                                               Economists   0   0   2   4   7     13
                                       Forging Machine Setters, Operators, and Tenders, Metal and Plastic   2   4   1   6   0     13
                                                                              Aircraft Service Attendants   8   2   0   3   0     13
                                                 Outdoor Power Equipment and Other Small Engine Mechanics   8   0   3   1   1     13
                                                                           Industrial Machinery Mechanics   6   2   3   1   1     13
                                                      Paper Goods Machine Setters, Operators, and Tenders   5   1   3   4   0     13
                                                                              Food Servers, Nonrestaurant   2   4   2   3   2     13
                                                                                               Paramedics   8   2   0   2   1     13
                                                                        Food Scientists and Technologists   0   0   2  10   1     13
                                                               Medical Scientists, Except Epidemiologists   0   1   0  10   2     13
                                                               Food Cooking Machine Operators and Tenders   0   3   1   8   1     13
                                                                                               Archivists   0   0   7   5   1     13
                                                                                     Pest Control Workers   5   2   1   5   0     13
                                                                 Magnetic Resonance Imaging Technologists   2   3   2   6   0     13
                                                                 Fire-Prevention and Protection Engineers   0   0   0  11   2     13
                                             Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders   1   6   3   2   1     13
                                                                        Layout Workers, Metal and Plastic   2   2   3   4   2     13
                                                                                      Light Truck Drivers   4   3   3   3   0     13
                                                                                          Animal Trainers   9   2   1   0   1     13
                                                                                     Motorcycle Mechanics  10   1   1   1   0     13
                                                               Gambling Change Persons and Booth Cashiers   0   2   2   9   0     13
                           Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic   3   3   2   5   0     13
                                                         Government Property Inspectors and Investigators   0   1   2   9   1     13
                                                              Network and Computer Systems Administrators   0   1   2   6   4     13
                                  Electrical and Electronics Repairers, Powerhouse, Substation, and Relay   3   1   3   6   0     13
                                                             Metal-Refining Furnace Operators and Tenders   3   3   0   7   0     13
                                                           Adhesive Bonding Machine Operators and Tenders   1   2   2   6   1     12
                                                                              Orthotists and Prosthetists   3   1   2   4   2     12
                                                                                     Pharmacy Technicians   1   0   2   7   2     12
                                Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation   0   1   1   9   1     12
                                                                       Media Technical Directors/Managers   0   0   3   8   1     12
                                                                                       Chemical Engineers   0   0   0  11   1     12
                                                                                      Crematory Operators   6   1   0   5   0     12
                                                              Motorboat Mechanics and Service Technicians  10   0   1   1   0     12
                                                                        Signal and Track Switch Repairers  10   1   0   0   1     12
                                                                            Slaughterers and Meat Packers   2   1   0   9   0     12
                                                              Court Reporters and Simultaneous Captioners   0   2   1   9   0     12
                                                                                      Tool and Die Makers   2   2   3   4   1     12
                                                                                 Meter Readers, Utilities   1   1   1   5   4     12
                                                                         Patternmakers, Metal and Plastic   3   3   4   1   1     12
                                                                                  Patient Representatives   0   0   5   6   1     12
                                                                           Nuclear Monitoring Technicians   2   0   1   9   0     12
                                                                                       Neuropsychologists   0   0   3   7   2     12
                                                            Medical and Clinical Laboratory Technologists   0   0   2  10   0     12
                                                                          Paralegals and Legal Assistants   0   0   3   9   0     12
                                                                                         Segmental Pavers   9   1   2   0   0     12
                                                                              Anesthesiologist Assistants   2   0   2   7   1     12
                                                              Medical and Clinical Laboratory Technicians   3   0   1   8   0     12
                                                                                              Orthoptists   1   0   3   6   2     12
                                                                              Transit and Railroad Police   1   0   0  11   0     12
                                                                            Dental Laboratory Technicians   6   3   1   2   0     12
                                                                            Locksmiths and Safe Repairers  10   1   0   0   1     12
                                                                        Precision Agriculture Technicians   1   1   2   4   4     12
                                                                         Fabric and Apparel Patternmakers   2   0   7   1   2     12
                                                       Market Research Analysts and Marketing Specialists   0   0   0   3   9     12
                                                                           Machine Feeders and Offbearers   1   3   0   5   3     12
                                                                                  Log Graders and Scalers   4   1   4   3   0     12
                                                                                               Urologists   3   0   1   8   0     12
                                                                             Data Warehousing Specialists   0   0   1   6   5     12
                                                                                     Locomotive Engineers   0   2   0  10   0     12
                                                                                           Mathematicians   0   0   0   1  11     12
                                                             Meat, Poultry, and Fish Cutters and Trimmers   5   0   0   7   0     12
                                                                       Bus Drivers, Transit and Intercity   1   5   1   5   0     12
                                                                                      Mechanical Drafters   0   1   2   5   4     12
                                                                                              Dishwashers   3   6   0   0   3     12
                                                          Legal Secretaries and Administrative Assistants   0   1   1   8   2     12
                                                                                Hoist and Winch Operators   5   2   2   3   0     12
                                                                                      Aerospace Engineers   0   0   1   9   2     12
                                                              Camera and Photographic Equipment Repairers   3   4   3   2   0     12
                                                                   Electromechanical Equipment Assemblers   2   1   0   6   3     12
                                 Door-to-Door Sales Workers, News and Street Vendors, and Related Workers   7   2   2   1   0     12
                                                                                      Aviation Inspectors   0   0   1  10   0     11
                                                                                     Lighting Technicians   6   0   3   2   0     11
                                                                      Engine and Other Machine Assemblers   3   1   1   4   2     11
                                           Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons   4   5   1   1   0     11
                                                                     Speech-Language Pathology Assistants   0   2   6   3   0     11
                                                                                    Endoscopy Technicians   6   1   1   2   1     11
                                                                                      Management Analysts   0   0   3   3   5     11
                                   Ambulance Drivers and Attendants, Except Emergency Medical Technicians   4   3   1   2   1     11
                                                         Mental Health and Substance Abuse Social Workers   0   0   6   4   1     11
                                                                                          Microbiologists   0   1   3   6   1     11
                                                                            Emergency Medical Technicians   5   0   2   4   0     11
                                                                         Wind Turbine Service Technicians   6   0   4   1   0     11
                                                         Gas Compressor and Gas Pumping Station Operators   4   1   0   5   1     11
                                                                     Private Detectives and Investigators   0   1   1   8   1     11
                                                                                  Gem and Diamond Workers   4   1   1   1   4     11
                                                                                            Telemarketers   0   0   0   8   3     11
                                                                                         Wellhead Pumpers   5   0   1   5   0     11
                                                                   Customs and Border Protection Officers   4   0   0   7   0     11
                                                                                              Podiatrists   4   0   1   6   0     11
                                                                               Family Medicine Physicians   1   0   1   9   0     11
      Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders   2   3   3   3   0     11
                                                          Physical Medicine and Rehabilitation Physicians   3   0   2   6   0     11
                                                                                             Sewers, Hand  10   1   0   0   0     11
                                                                      Coil Winders, Tapers, and Finishers   2   4   1   3   1     11
                                                                                     Physician Assistants   4   1   0   6   0     11
                                                                Shipping, Receiving, and Inventory Clerks   2   1   2   2   4     11
                                                                                      Personal Care Aides   3   3   3   2   0     11
                                                                              Medical Equipment Preparers   2   2   2   4   1     11
                                                              Buyers and Purchasing Agents, Farm Products   0   0   3   7   1     11
                                                                                       Cooks, Short Order   3   2   4   1   1     11
                                                                                Butchers and Meat Cutters   5   1   0   4   1     11
                                                                                     Driver/Sales Workers   2   2   2   4   1     11
                                                                     Postmasters and Mail Superintendents   0   0   1   9   1     11
                                                                                 Roustabouts, Oil and Gas   9   0   1   1   0     11
                                                                                        Dental Assistants   5   1   4   1   0     11
                                                                                      Facilities Managers   0   0   2   6   3     11
                                                        Medical Secretaries and Administrative Assistants   0   2   3   6   0     11
                                                                                                 Chemists   0   0   1  10   0     11
                                    Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders   0   2   2   5   1     10
                                                                                      Telephone Operators   1   0   1   5   3     10
                                                                              Medical Records Specialists   0   0   0  10   0     10
                                                                        Training and Development Managers   0   0   1   7   2     10
                                                   Laborers and Freight, Stock, and Material Movers, Hand   2   5   3   0   0     10
                                                             Insulation Workers, Floor, Ceiling, and Wall   5   3   2   0   0     10
                                                                                Medical Transcriptionists   0   0   1   9   0     10
                                                                                            Chiropractors   7   0   0   3   0     10
                                                                                          Team Assemblers   1   1   3   4   1     10
                                                             Cardiovascular Technologists and Technicians   2   1   4   1   2     10
                                                                            Proofreaders and Copy Markers   0   1   2   0   7     10
                                                                                     Passenger Attendants   2   4   2   2   0     10
                                                         Computer Numerically Controlled Tool Programmers   1   0   0   4   5     10
                                                Pesticide Handlers, Sprayers, and Applicators, Vegetation   2   3   1   4   0     10
                                                                                          Prosthodontists   7   1   0   2   0     10
                                Postal Service Mail Sorters, Processors, and Processing Machine Operators   3   3   2   1   1     10
                                                                                            Psychiatrists   0   1   1   7   1     10
                                                                                        Cytotechnologists   1   1   1   6   1     10
                                                                                                   Models   4   1   2   0   3     10
                                                                              Packers and Packagers, Hand   0   2   0   6   2     10
                                                       Refractory Materials Repairers, Except Brickmasons   7   2   0   1   0     10
                                                                           Ophthalmic Medical Technicians   2   3   3   2   0     10
                                                                                       Desktop Publishers   0   2   2   1   5     10
                                            Electronic Equipment Installers and Repairers, Motor Vehicles   3   3   3   1   0     10
                                                                           Nuclear Medicine Technologists   1   0   3   6   0     10
                                                                      Non-Destructive Testing Specialists   1   0   2   7   0     10
                                                                            Neurodiagnostic Technologists   3   0   1   6   0     10
                                                                                  Recreational Therapists   0   1   4   5   0     10
                                                           Audiovisual Equipment Installers and Repairers   5   3   1   1   0     10
                                                                                            Tax Preparers   0   1   1   7   1     10
                                                                      Cartographers and Photogrammetrists   1   0   3   2   3      9
                                                                                               Physicists   0   0   1   4   4      9
                                       Aerospace Engineering and Operations Technologists and Technicians   3   1   1   4   0      9
                                                                                   Rock Splitters, Quarry   6   0   0   3   0      9
                                                                         Prepress Technicians and Workers   1   2   4   1   1      9
                                                                          Athletes and Sports Competitors   4   2   2   1   0      9
                                                                                         Brokerage Clerks   0   0   1   4   4      9
                                                                                        Data Entry Keyers   0   2   1   4   2      9
                                                                                          Security Guards   3   1   0   4   1      9
                                                                             Crossing Guards and Flaggers   6   1   0   2   0      9
                                                                           Insulation Workers, Mechanical   6   2   1   0   0      9
                                                                                          Credit Analysts   0   0   0   8   1      9
                                                                                Crane and Tower Operators   4   0   1   4   0      9
