                                                                                               occupation  A0  A1  A2  A3  A4  total
              Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic   5   6   5  11   0     27
                                                                         Quality Control Systems Managers   0   0   2  17   8     27
                                                                                                  Roofers  25   1   1   0   0     27
                          First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers   3   1   3  18   2     27
                                                             Bookkeeping, Accounting, and Auditing Clerks   0   0   2  10  15     27
                                                                                           Web Developers   0   0   2   8  17     27
                                                                 Veterinary Technologists and Technicians  12   2   4   8   1     27
                                                               Biological Science Teachers, Postsecondary   1   1   9  12   4     27
                                      First-Line Supervisors of Office and Administrative Support Workers   0   0   4  19   4     27
                                                   Veterinary Assistants and Laboratory Animal Caretakers   9   6   5   4   2     26
                                                                           Terrazzo Workers and Finishers  22   1   1   2   0     26
                                                                   Teaching Assistants, Special Education   4   7  11   4   0     26
                                                                                       Coaches and Scouts   1   1   9  12   3     26
                                                                                                Embalmers  21   2   0   3   0     26
                                   Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary   0   1  11   5   9     26
                                                                                 Quality Control Analysts   1   0   3  20   2     26
                                                                                 Human Resources Managers   0   0   2  23   1     26
                                                                 Computer Science Teachers, Postsecondary   0   2   5  12   7     26
                                                                                      Nurse Practitioners   2   0   3  21   0     26
                                                                 Welders, Cutters, Solderers, and Brazers  10   4   3   8   1     26
                                      Electrical and Electronic Engineering Technologists and Technicians   2   1   6  11   6     26
                                                                                 Food Preparation Workers   6   7   6   3   4     26
                                                                  Education Administrators, Postsecondary   0   0   3  19   4     26
                                                                              Helpers--Production Workers   1  12   3   8   2     26
                                                                                Soil and Plant Scientists   1   0   7  16   2     26
                                                                        Correctional Officers and Jailers   4   5   3  14   0     26
                                                                      Drywall and Ceiling Tile Installers  19   5   2   0   0     26
                                                                              Regulatory Affairs Managers   0   0   0  26   0     26
                  Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic   3   4   8  10   1     26
                                                                                Cytogenetic Technologists   1   2   5  17   1     26
                                           First-Line Supervisors of Food Preparation and Serving Workers   2   0   2  19   3     26
                                                                                         Music Therapists   1   3  13   8   1     26
                                                  Environmental Engineering Technologists and Technicians   0   0   6  17   3     26
                                                                               Billing and Posting Clerks   0   3   4   7  12     26
                                                                        Financial and Investment Analysts   0   0   3  19   4     26
                                                  Farmworkers and Laborers, Crop, Nursery, and Greenhouse  10   5   4   6   1     26
                                                                     Police and Sheriff's Patrol Officers   9   1   3  13   0     26
                                                                                      Surgical Assistants  11   0   5   9   0     25
                                                    Rail-Track Laying and Maintenance Equipment Operators  10   7   0   8   0     25
                                                                                           Art Therapists   0   1  19   4   1     25
                                                                     Cement Masons and Concrete Finishers  21   0   0   4   0     25
                                                                                                 Cashiers   2   6   5   4   8     25
                                                                                    Supply Chain Managers   1   0   3  16   5     25
                                       Railroad Brake, Signal, and Switch Operators and Locomotive Firers  11   1   1  12   0     25
                                                                                 Transportation Engineers   0   0   4  19   2     25
                                                                      Web and Digital Interface Designers   0   1   5   7  12     25
                                                                                    Helpers--Electricians  17   2   3   3   0     25
                                                                                                Foresters   4   1   7  12   1     25
                                                               Occupational Health and Safety Technicians   1   1   8  14   1     25
                                                                               Stockers and Order Fillers   5   8   7   0   5     25
                                                                                Mechanical Door Repairers  18   3   2   1   1     25
                                                                      Electrical and Electronics Drafters   2   0   3  14   6     25
                                                                         Architectural and Civil Drafters   1   1   2  20   1     25
                                                             Captains, Mates, and Pilots of Water Vessels   1   1   1  22   0     25
                                                Forestry and Conservation Science Teachers, Postsecondary   1   1   6  10   7     25
                                                                                 Agricultural Technicians   5   1   7   8   4     25
                                                                         Business Teachers, Postsecondary   0   2   5  12   6     25
                                                                      Environmental Compliance Inspectors   1   1   3  16   4     25
                                                                            Music Directors and Composers   0   1   5   6  13     25
                                                                    Bioengineers and Biomedical Engineers   0   0   2  20   3     25
                                                                  Maintenance and Repair Workers, General  11   4   5   4   1     25
                                                                            Fast Food and Counter Workers   3  11   3   6   2     25
                                                            Environmental Science Teachers, Postsecondary   1   1   9   8   6     25
                                                                  Library Science Teachers, Postsecondary   1   0  10   8   6     25
                                                                                               Machinists   4   2   6  10   3     25
                                                     Industrial Engineering Technologists and Technicians   0   1   4  16   4     25
                                                                          History Teachers, Postsecondary   1   0   7  12   5     25
                                                 Loading and Moving Machine Operators, Underground Mining   7   4   1  13   0     25
                                                                              Urban and Regional Planners   0   0   6  17   2     25
                                                                    Automotive Body and Related Repairers  17   3   2   3   0     25
                                                                   Shoe and Leather Workers and Repairers  13   2   5   1   3     24
                                                                        Fitness and Wellness Coordinators   2   2   8   7   5     24
                                                                                Tree Trimmers and Pruners  21   1   1   0   1     24
                                                                        Geography Teachers, Postsecondary   1   2   9   6   6     24
                                                                                       Recreation Workers   5   0  12   5   2     24
                                                          Software Quality Assurance Analysts and Testers   1   1   1   5  16     24
                                                                        Sociology Teachers, Postsecondary   0   1  10   7   6     24
                                                                       Earth Drillers, Except Oil and Gas  12   2   2   8   0     24
                                                                      Social Work Teachers, Postsecondary   1   0  10  10   3     24
                                                                                    Fish and Game Wardens  10   0   1  12   1     24
                                                                  Heavy and Tractor-Trailer Truck Drivers   7   5   3   6   3     24
                                                                  Musical Instrument Repairers and Tuners  16   2   2   3   1     24
                                                                   Landscaping and Groundskeeping Workers  15   2   3   3   1     24
                                                                                        Registered Nurses   4   2   6  12   0     24
                                  Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders   3   4   0  15   2     24
                                              Cutting and Slicing Machine Setters, Operators, and Tenders   5   4   7   8   0     24
                                                                                        Security Managers   0   0   0  23   1     24
                                                                            Biochemists and Biophysicists   0   0   3  17   4     24
                                                                                    Construction Laborers  20   0   0   4   0     24
                                                                        Education Teachers, Postsecondary   0   1   9  10   4     24
                                                                                       Funeral Attendants  11   7   2   3   1     24
                                                                      Print Binding and Finishing Workers   6   6   6   2   4     24
                                                                                        Childcare Workers  13   3   5   3   0     24
                                                                                   Tile and Stone Setters  16   5   3   0   0     24
                                                  Foreign Language and Literature Teachers, Postsecondary   1   1   8   7   7     24
                                                            Insurance Claims and Policy Processing Clerks   0   0   7  12   5     24
                                                                              Tire Repairers and Changers  14   3   2   3   2     24
                                                                                                  Tellers   0   2   6  12   4     24
                                                                                   Waiters and Waitresses   9   5   3   3   4     24
       Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education   4   8   9   2   1     24
                                                                                      Logistics Engineers   0   0   2  14   8     24
                                                                      Museum Technicians and Conservators   5   1  10   6   2     24
                                                                      Engineering Teachers, Postsecondary   0   1   8   9   6     24
                                                                                     Mechanical Engineers   0   0   6  13   5     24
