occupation,AGI-specific,NOT AGI-specific
Industrial Machinery Mechanics,7,9
"Electrical and Electronics Installers and Repairers, Transportation Equipment",6,9
Penetration Testers,13,9
Crossing Guards and Flaggers,3,9
Electro-Mechanical and Mechatronics Technologists and Technicians,19,9
Sheet Metal Workers,10,9
Diagnostic Medical Sonographers,11,9
Maids and Housekeeping Cleaners,11,9
Sewing Machine Operators,17,9
Musicians and Singers,20,9
Neurologists,15,9
Critical Care Nurses,20,9
Neurodiagnostic Technologists,7,9
Segmental Pavers,3,9
Prosthodontists,3,9
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",6,9
Baggage Porters and Bellhops,8,9
Pipelayers,5,9
Athletic Trainers,14,9
Operating Engineers and Other Construction Equipment Operators,17,9
Exercise Physiologists,16,9
Avionics Technicians,4,9
"Kindergarten Teachers, Except Special Education",28,9
Couriers and Messengers,6,9
"Floor Layers, Except Carpet, Wood, and Hard Tiles",5,9
Barbers,9,9
Special Effects Artists and Animators,4,9
Outdoor Power Equipment and Other Small Engine Mechanics,5,9
"Mobile Heavy Equipment Mechanics, Except Engines",11,9
Medical Assistants,11,9
Nurse Anesthetists,15,9
Cleaners of Vehicles and Equipment,11,9
"Preschool Teachers, Except Special Education",25,9
Rail Car Repairers,11,9
Signal and Track Switch Repairers,2,10
"Airline Pilots, Copilots, and Flight Engineers",14,10
Ophthalmic Laboratory Technicians,8,10
"Opticians, Dispensing",11,10
"Sewers, Hand",1,10
Parking Enforcement Workers,12,10
Oral and Maxillofacial Surgeons,4,10
Actors,8,10
Fish and Game Wardens,14,10
Fuel Cell Engineers,16,10
Stockers and Order Fillers,20,10
Computer Numerically Controlled Tool Operators,17,10
"Derrick Operators, Oil and Gas",5,10
Broadcast Technicians,17,10
Bailiffs,5,10
Computer Systems Engineers/Architects,18,10
Highway Maintenance Workers,9,10
"Molders, Shapers, and Casters, Except Metal and Plastic",14,10
Dental Assistants,6,10
"Paving, Surfacing, and Tamping Equipment Operators",10,10
Waiters and Waitresses,15,10
Commercial Pilots,14,10
Atmospheric and Space Scientists,17,10
Photographic Process Workers and Processing Machine Operators,17,10
Home Health Aides,5,10
"Fine Artists, Including Painters, Sculptors, and Illustrators",18,10
Pharmacy Technicians,11,10
Brickmasons and Blockmasons,4,10
Motorcycle Mechanics,3,10
Public Safety Telecommunicators,8,10
Massage Therapists,4,10
Surgical Technologists,6,10
Robotics Technicians,12,10
"Explosives Workers, Ordnance Handling Experts, and Blasters",17,10
Dancers,3,11
Cabinetmakers and Bench Carpenters,9,11
Jewelers and Precious Stone and Metal Workers,19,11
Lighting Technicians,5,11
Veterinary Assistants and Laboratory Animal Caretakers,17,11
Dental Hygienists,5,11
Dental Laboratory Technicians,6,11
Surveying and Mapping Technicians,19,11
Transportation Security Screeners,15,11
Food Preparation Workers,20,11
"Farmworkers, Farm, Ranch, and Aquacultural Animals",8,11
Rail-Track Laying and Maintenance Equipment Operators,15,11
Riggers,3,11
Automotive Glass Installers and Repairers,7,11
"Roustabouts, Oil and Gas",2,11
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",16,11
Precision Agriculture Technicians,11,11
Animal Trainers,4,11
Electricians,10,11
Physical Therapist Aides,8,11
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",9,11
Motorboat Mechanics and Service Technicians,2,11
Nannies,8,11
Online Merchants,23,11
Funeral Attendants,13,11
Phlebotomists,11,12
Solar Photovoltaic Installers,14,12
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",14,12
"Geological Technicians, Except Hydrologic Technicians",17,12
Traffic Technicians,11,12
Locksmiths and Safe Repairers,2,12
Ophthalmic Medical Technicians,8,12
Conveyor Operators and Tenders,8,12
Orderlies,10,12
Power Plant Operators,18,12
Midwives,24,12
Carpet Installers,4,12
Cardiologists,13,12
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",3,12
Forest and Conservation Workers,5,12
Furniture Finishers,10,12
Manufactured Building and Mobile Home Installers,2,12
Physical Therapists,12,12
Manicurists and Pedicurists,6,12
Structural Metal Fabricators and Fitters,11,12
Physical Therapist Assistants,9,12
Photographers,16,12
Heavy and Tractor-Trailer Truck Drivers,17,12
Upholsterers,10,12
Police and Sheriff's Patrol Officers,17,13
Boilermakers,5,13
Cardiovascular Technologists and Technicians,8,13
Radiologic Technologists and Technicians,17,13
Etchers and Engravers,13,13
Childcare Workers,11,13
Magnetic Resonance Imaging Technologists,11,13
Aircraft Service Attendants,5,13
"Maintenance and Repair Workers, General",14,13
"Dentists, General",7,13
"Hairdressers, Hairstylists, and Cosmetologists",9,13
Fence Erectors,6,14
Sailors and Marine Oilers,14,14
Plasterers and Stucco Masons,1,14
Home Appliance Repairers,15,14
Surgical Assistants,14,14
"Rotary Drill Operators, Oil and Gas",6,14
Stonemasons,2,14
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",13,14
Geothermal Technicians,10,14
Solar Thermal Installers and Technicians,7,14
"Welders, Cutters, Solderers, and Brazers",16,14
Animal Breeders,7,14
Tire Repairers and Changers,10,14
"Tailors, Dressmakers, and Custom Sewers",8,14
Millwrights,8,15
Septic Tank Servicers and Sewer Pipe Cleaners,7,15
Commercial Divers,8,15
Shoe and Leather Workers and Repairers,11,15
Paperhangers,5,15
"Control and Valve Installers and Repairers, Except Mechanical Door",17,15
Telecommunications Line Installers and Repairers,4,15
"Telecommunications Equipment Installers and Repairers, Except Line Installers",24,15
Elevator and Escalator Installers and Repairers,5,15
Medical Dosimetrists,4,15
Automotive Service Technicians and Mechanics,15,15
"Electric Motor, Power Tool, and Related Repairers",15,16
Structural Iron and Steel Workers,3,16
Veterinary Technologists and Technicians,15,16
Fallers,2,16
Musical Instrument Repairers and Tuners,8,16
Fishing and Hunting Workers,13,16
Helpers--Roofers,2,16
Aircraft Mechanics and Service Technicians,22,16
Air Traffic Controllers,7,16
Microsystems Engineers,15,16
Nursing Assistants,17,16
Glaziers,10,17
Tile and Stone Setters,8,17
Electrical Power-Line Installers and Repairers,6,17
Landscaping and Groundskeeping Workers,9,17
"Earth Drillers, Except Oil and Gas",12,17
Automotive Body and Related Repairers,8,17
Helpers--Electricians,8,17
Mechanical Door Repairers,7,18
Ophthalmic Medical Technologists,13,18
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",11,19
"Plumbers, Pipefitters, and Steamfitters",11,19
Carpenters,10,19
Drywall and Ceiling Tile Installers,7,19
"Radio, Cellular, and Tower Equipment Installers and Repairers",9,21
Bus and Truck Mechanics and Diesel Engine Specialists,5,21
Tree Trimmers and Pruners,3,21
Embalmers,5,21
Cement Masons and Concrete Finishers,4,22
Terrazzo Workers and Finishers,4,22
Firefighters,7,23
Construction Laborers,4,23
Roofers,2,25
