occupation,AGI-specific,NOT AGI-specific
Market Research Analysts and Marketing Specialists,12,1
"Mathematical Science Teachers, Postsecondary",22,1
Media Programming Directors,22,1
"Medical Scientists, Except Epidemiologists",13,1
Medical and Health Services Managers,17,1
"Meter Readers, Utilities",11,1
New Accounts Clerks,14,1
Order Clerks,18,1
Patient Representatives,12,1
Payroll and Timekeeping Clerks,20,1
Personal Financial Advisors,20,1
"Philosophy and Religion Teachers, Postsecondary",21,1
Physicists,9,1
"Poets, Lyricists and Creative Writers",15,1
Materials Engineers,20,1
"Court, Municipal, and License Clerks",29,1
Instructional Coordinators,29,1
"Career/Technical Education Teachers, Postsecondary",19,1
Biostatisticians,24,1
Chemists,11,1
Choreographers,17,1
Biologists,21,1
Civil Engineering Technologists and Technicians,13,1
Civil Engineers,15,1
"Biological Science Teachers, Postsecondary",26,1
Computer and Information Research Scientists,14,1
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",10,1
Bioinformatics Scientists,19,1
Biofuels/Biodiesel Technology and Product Development Managers,17,1
Construction Managers,24,1
Biofuels Production Managers,13,1
"Communications Teachers, Postsecondary",21,1
Animal Scientists,8,1
Appraisers and Assessors of Real Estate,27,1
Appraisers of Personal and Business Property,13,1
"Bookkeeping, Accounting, and Auditing Clerks",27,1
Chefs and Head Cooks,20,1
Computer and Information Systems Managers,16,1
Brokerage Clerks,9,1
Cost Estimators,13,1
"Buyers and Purchasing Agents, Farm Products",11,1
Advertising Sales Agents,19,1
Business Intelligence Analysts,16,1
Costume Attendants,20,1
Brownfield Redevelopment Specialists and Site Managers,22,1
First-Line Supervisors of Food Preparation and Serving Workers,24,2
Hydroelectric Production Managers,16,2
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",28,2
"Coil Winders, Tapers, and Finishers",9,2
Industrial-Organizational Psychologists,23,2
Billing and Posting Clerks,26,2
Intelligence Analysts,19,2
Baristas,17,2
Postmasters and Mail Superintendents,11,2
Industrial Ecologists,36,2
Environmental Engineers,27,2
Industrial Production Managers,19,2
Computer User Support Specialists,14,2
Farm and Home Management Educators,13,2
First-Line Supervisors of Gambling Services Workers,28,2
Aviation Inspectors,11,2
Environmental Restoration Planners,21,2
"Property, Real Estate, and Community Association Managers",25,2
Family Medicine Physicians,10,2
Psychiatrists,10,2
Receptionists and Information Clerks,16,2
"Art, Drama, and Music Teachers, Postsecondary",26,2
Art Directors,14,2
Insurance Sales Agents,17,2
Recycling Coordinators,21,2
Probation Officers and Correctional Treatment Specialists,19,2
Fashion Designers,18,2
First-Line Supervisors of Non-Retail Sales Workers,16,2
"First-Line Supervisors of Mechanics, Installers, and Repairers",20,2
Health Information Technologists and Medical Registrars,14,2
Chemical Engineers,12,2
Materials Scientists,14,2
"Geography Teachers, Postsecondary",23,2
Machine Feeders and Offbearers,11,2
Geodetic Surveyors,14,2
Geneticists,22,2
Genetic Counselors,17,2
Mental Health and Substance Abuse Social Workers,11,2
Gambling Surveillance Officers and Gambling Investigators,6,2
Locomotive Engineers,12,2
Court Reporters and Simultaneous Captioners,12,2
Loan Interviewers and Clerks,16,2
Legal Secretaries and Administrative Assistants,12,2
Neuropsychologists,12,2
"News Analysts, Reporters, and Journalists",28,2
Bioinformatics Technicians,17,2
Judicial Law Clerks,16,2
Occupational Health and Safety Technicians,24,2
Food Science Technicians,14,2
Operations Research Analysts,15,2
Human Resources Specialists,24,2
Fitness and Wellness Coordinators,22,2
"Packers and Packagers, Hand",10,2
"Painting, Coating, and Decorating Workers",7,2
Coaches and Scouts,25,2
Healthcare Social Workers,15,2
Interior Designers,14,2
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",11,2
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",8,2
Social Science Research Assistants,20,2
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",12,2
Tax Preparers,10,2
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",29,2
"Tax Examiners and Collectors, and Revenue Agents",19,2
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",35,2
Agricultural Engineers,12,2
"Cooks, Fast Food",17,2
"Electronics Engineers, Except Computer",18,2
"Shipping, Receiving, and Inventory Clerks",9,2
"Teaching Assistants, Postsecondary",18,2
Statisticians,17,2
Training and Development Managers,10,2
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",13,2
Water Resource Specialists,19,2
Shoe Machine Operators and Tenders,17,2
Soil and Plant Scientists,25,2
Speech-Language Pathologists,21,2
Anesthesiologists,16,2
"Architects, Except Landscape and Naval",22,2
"Educational, Guidance, and Career Counselors and Advisors",33,2
Environmental Compliance Inspectors,24,2
Driver/Sales Workers,9,2
Credit Analysts,9,2
Shampooers,2,2
"Wholesale and Retail Buyers, Except Farm Products",18,2
"Anthropology and Archeology Teachers, Postsecondary",25,2
Counter and Rental Clerks,14,2
Web Developers,27,2
Team Assemblers,9,2
Sales Engineers,23,2
Advertising and Promotions Managers,28,2
Geothermal Production Managers,14,3
Medical and Clinical Laboratory Technologists,12,3
"Entertainment and Recreation Managers, Except Gambling",14,3
General Internal Medicine Physicians,16,3
Microbiologists,11,3
Media Technical Directors/Managers,12,3
Substance Abuse and Behavioral Disorder Counselors,20,3
Molecular and Cellular Biologists,19,3
"Cooks, Short Order",8,3
"Special Education Teachers, Secondary School",37,3
Biological Technicians,14,3
"Disc Jockeys, Except Radio",16,3
Nurse Practitioners,24,3
"Nursing Instructors and Teachers, Postsecondary",26,3
General and Operations Managers,14,3
Aircraft Cargo Handling Supervisors,3,3
Data Scientists,13,3
Mechanical Drafters,12,3
"Career/Technical Education Teachers, Middle School",28,3
Word Processors and Typists,16,3
"Insurance Appraisers, Auto Damage",4,3
Industrial Engineers,17,3
Hydrologists,22,3
Web Administrators,32,3
Water and Wastewater Treatment Plant and System Operators,5,3
"Career/Technical Education Teachers, Secondary School",30,3
Interpreters and Translators,14,3
"Interviewers, Except Eligibility and Loan",13,3
"Layout Workers, Metal and Plastic",11,3
Coroners,17,3
Librarians and Media Collections Specialists,27,3
"Library Assistants, Clerical",29,3
Adapted Physical Education Specialists,17,3
Histology Technicians,5,3
"Transportation, Storage, and Distribution Managers",27,3
"Bus Drivers, Transit and Intercity",11,3
Manufacturing Engineers,21,3
Marine Engineers and Naval Architects,27,3
Obstetricians and Gynecologists,12,3
Health Informatics Specialists,14,3
Database Administrators,15,3
Agricultural Inspectors,13,3
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",15,3
Graphic Designers,16,3
Food Service Managers,25,3
"Dispatchers, Except Police, Fire, and Ambulance",9,3
"Cooks, Institution and Cafeteria",14,3
"Food Servers, Nonrestaurant",11,3
First-Line Supervisors of Production and Operating Workers,17,3
Clinical Nurse Specialists,27,3
Automotive Engineers,22,3
Clinical Research Coordinators,30,3
Electrical Engineers,19,3
Software Developers,14,3
Film and Video Editors,19,3
Commercial and Industrial Designers,14,3
Photonics Engineers,23,3
Construction and Building Inspectors,16,3
Park Naturalists,17,3
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",15,3
"Elementary School Teachers, Except Special Education",35,3
Pharmacists,17,3
Anthropologists and Archeologists,27,3
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",21,3
