occupation,A0,A1,A2,A3,A4,P
Magnetic Resonance Imaging Technologists,2,3,2,6,0,11
Maids and Housekeeping Cleaners,8,9,1,1,0,1
"Mail Clerks and Mail Machine Operators, Except Postal Service",0,6,8,1,6,5
"Maintenance Workers, Machinery",5,3,6,3,0,1
"Maintenance and Repair Workers, General",11,4,5,4,1,2
"Makeup Artists, Theatrical and Performance",9,4,5,3,1,0
Management Analysts,0,0,3,3,5,0
Manicurists and Pedicurists,12,3,0,1,2,0
Manufactured Building and Mobile Home Installers,12,0,1,1,0,0
Manufacturing Engineers,0,0,2,12,7,3
Marine Engineers and Naval Architects,0,0,6,17,4,3
Market Research Analysts and Marketing Specialists,0,0,0,3,9,1
Marketing Managers,0,0,2,12,6,0
Marriage and Family Therapists,0,1,7,7,0,0
Massage Therapists,10,1,1,1,1,0
Materials Engineers,0,0,0,12,8,1
Materials Scientists,0,0,5,6,3,2
"Mathematical Science Teachers, Postsecondary",1,1,7,8,6,0
Mathematicians,0,0,0,1,11,0
"Meat, Poultry, and Fish Cutters and Trimmers",5,0,0,7,0,0
Mechanical Door Repairers,18,3,2,1,1,0
Mechanical Drafters,0,1,2,5,4,3
Mechanical Engineering Technologists and Technicians,1,0,6,15,5,3
Mechanical Engineers,0,0,6,13,5,4
Mechatronics Engineers,0,1,1,8,7,6
Media Programming Directors,0,0,3,16,3,1
Media Technical Directors/Managers,0,0,3,8,1,3
Medical Appliance Technicians,6,2,1,5,0,1
Medical Assistants,4,2,3,5,1,5
Medical Dosimetrists,1,1,1,2,0,14
Medical Equipment Preparers,2,2,2,4,1,4
Medical Equipment Repairers,3,3,4,8,1,1
Medical Records Specialists,0,0,0,10,0,7
"Medical Scientists, Except Epidemiologists",0,1,0,10,2,1
Medical Secretaries and Administrative Assistants,0,2,3,6,0,4
Medical Transcriptionists,0,0,1,9,0,5
Medical and Clinical Laboratory Technicians,3,0,1,8,0,1
Medical and Clinical Laboratory Technologists,0,0,2,10,0,3
Medical and Health Services Managers,0,0,1,15,1,1
"Meeting, Convention, and Event Planners",1,0,7,8,2,3
Mental Health Counselors,0,2,8,17,0,0
Mental Health and Substance Abuse Social Workers,0,0,6,4,1,2
Merchandise Displayers and Window Trimmers,4,3,10,3,3,1
Metal-Refining Furnace Operators and Tenders,3,3,0,7,0,2
"Meter Readers, Utilities",1,1,1,5,4,0
Microbiologists,0,1,3,6,1,3
Microsystems Engineers,2,0,4,7,4,14
"Middle School Teachers, Except Special and Career/Technical Education",3,3,20,8,0,1
Midwives,9,5,8,9,2,3
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",3,3,2,5,0,2
Millwrights,12,3,2,3,0,3
"Mining and Geological Engineers, Including Mining Safety Engineers",0,0,0,13,1,4
"Mixing and Blending Machine Setters, Operators, and Tenders",1,5,3,3,3,5
"Mobile Heavy Equipment Mechanics, Except Engines",7,2,3,5,1,2
"Model Makers, Metal and Plastic",4,4,1,3,1,3
"Model Makers, Wood",5,3,5,1,0,0
Models,4,1,2,0,3,0
"Molders, Shapers, and Casters, Except Metal and Plastic",8,5,4,5,0,2
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",5,6,5,11,0,2
Molecular and Cellular Biologists,0,0,4,12,3,3
"Morticians, Undertakers, and Funeral Arrangers",6,4,3,7,2,0
Motion Picture Projectionists,2,5,3,1,4,2
Motorboat Mechanics and Service Technicians,10,0,1,1,0,1
Motorboat Operators,6,0,2,6,0,2
Motorcycle Mechanics,10,1,1,1,0,0
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3,5,2,7,1,3
Museum Technicians and Conservators,5,1,10,6,2,0
Music Directors and Composers,0,1,5,6,13,5
Music Therapists,1,3,13,8,1,4
Musical Instrument Repairers and Tuners,16,2,2,3,1,0
Musicians and Singers,7,0,4,7,9,2
Nannies,11,2,4,2,0,0
Nanosystems Engineers,0,0,0,15,5,5
Nanotechnology Engineering Technologists and Technicians,2,0,5,10,4,4
Natural Sciences Managers,0,0,2,10,4,0
Naturopathic Physicians,5,1,2,8,1,3
Network and Computer Systems Administrators,0,1,2,6,4,7
Neurodiagnostic Technologists,3,0,1,6,0,6
Neurologists,1,1,2,11,1,8
Neuropsychologists,0,0,3,7,2,2
New Accounts Clerks,0,1,3,9,1,1
"News Analysts, Reporters, and Journalists",1,1,3,21,3,1
Non-Destructive Testing Specialists,1,0,2,7,0,6
Nuclear Engineers,0,0,0,19,1,0
Nuclear Medicine Technologists,1,0,3,6,0,7
Nuclear Monitoring Technicians,2,0,1,9,0,4
Nuclear Power Reactor Operators,0,0,0,18,1,0
Nuclear Technicians,0,0,0,14,0,4
Nurse Anesthetists,3,1,1,12,1,6
Nurse Midwives,3,1,2,11,0,4
Nurse Practitioners,2,0,3,21,0,1
Nursing Assistants,12,8,7,2,0,4
"Nursing Instructors and Teachers, Postsecondary",3,0,9,12,5,0
Obstetricians and Gynecologists,2,0,3,9,0,1
Occupational Health and Safety Specialists,3,0,4,13,1,1
Occupational Health and Safety Technicians,1,1,8,14,1,1
Occupational Therapists,5,0,5,4,1,2
Occupational Therapy Aides,5,2,5,2,1,0
Occupational Therapy Assistants,6,3,5,6,0,2
"Office Clerks, General",1,1,7,3,6,2
"Office Machine Operators, Except Computer",3,7,4,0,4,0
Online Merchants,0,0,3,4,16,11
Operating Engineers and Other Construction Equipment Operators,3,3,2,11,1,6
Operations Research Analysts,0,0,1,3,11,2
Ophthalmic Laboratory Technicians,5,3,2,2,1,5
Ophthalmic Medical Technicians,2,3,3,2,0,10
Ophthalmic Medical Technologists,2,3,4,6,0,16
"Ophthalmologists, Except Pediatric",1,0,2,12,0,3
"Opticians, Dispensing",3,3,4,2,2,7
Optometrists,2,0,1,5,0,2
Oral and Maxillofacial Surgeons,10,0,0,4,0,0
Order Clerks,0,0,1,8,9,1
Orderlies,8,3,1,6,0,4
Orthodontists,1,1,0,6,0,3
"Orthopedic Surgeons, Except Pediatric",3,1,1,10,0,0
Orthoptists,1,0,3,6,2,4
Orthotists and Prosthetists,3,1,2,4,2,3
Outdoor Power Equipment and Other Small Engine Mechanics,8,0,3,1,1,1
Packaging and Filling Machine Operators and Tenders,1,1,4,9,2,3
"Packers and Packagers, Hand",0,2,0,6,2,2
"Painters, Construction and Maintenance",5,6,4,2,0,0
"Painting, Coating, and Decorating Workers",2,4,2,1,0,0
"Paper Goods Machine Setters, Operators, and Tenders",5,1,3,4,0,1
Paperhangers,14,4,1,0,0,1
Paralegals and Legal Assistants,0,0,3,9,0,0
Paramedics,8,2,0,2,1,0
Park Naturalists,3,3,6,3,5,0
Parking Attendants,4,5,3,2,0,1
Parking Enforcement Workers,5,4,4,4,0,5
Parts Salespersons,1,2,6,4,2,4
Passenger Attendants,2,4,2,2,0,2
Patient Representatives,0,0,5,6,1,1
"Patternmakers, Metal and Plastic",3,3,4,1,1,3
"Patternmakers, Wood",6,5,5,2,2,0
"Paving, Surfacing, and Tamping Equipment Operators",7,4,0,6,0,3
Payroll and Timekeeping Clerks,0,0,2,16,2,1
Pediatric Surgeons,4,0,2,12,0,0
"Pediatricians, General",3,0,1,12,0,1
Penetration Testers,1,0,1,11,1,8
Personal Care Aides,3,3,3,2,0,0
Personal Financial Advisors,0,1,2,16,1,1
Pest Control Workers,5,2,1,5,0,0
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2,3,1,4,0,0
Petroleum Engineers,0,0,1,14,2,6
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",4,2,0,15,0,3
Pharmacists,0,1,0,16,0,3
Pharmacy Aides,2,1,1,3,1,6
Pharmacy Technicians,1,0,2,7,2,9
"Philosophy and Religion Teachers, Postsecondary",1,2,6,6,7,0
Phlebotomists,8,2,2,6,1,4
Photographers,4,4,5,2,5,8
Photographic Process Workers and Processing Machine Operators,2,3,5,7,2,8
Photonics Engineers,0,0,3,13,7,3
Photonics Technicians,3,1,2,10,3,5
Physical Medicine and Rehabilitation Physicians,3,0,2,6,0,4
Physical Therapist Aides,9,4,2,1,1,2
Physical Therapist Assistants,9,3,4,1,1,3
Physical Therapists,11,3,5,4,0,1
Physician Assistants,4,1,0,6,0,1
"Physicians, Pathologists",1,0,0,15,0,3
Physicists,0,0,1,4,4,1
"Physics Teachers, Postsecondary",0,4,9,7,4,0
Pile Driver Operators,2,0,1,1,0,1
Pipelayers,9,0,4,1,0,0
Plasterers and Stucco Masons,14,1,0,0,0,0
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",3,6,5,16,0,3
"Plumbers, Pipefitters, and Steamfitters",13,2,5,3,1,6
Podiatrists,4,0,1,6,0,0
"Poets, Lyricists and Creative Writers",1,0,1,1,13,0
Police Identification and Records Officers,3,1,1,9,0,2
Police and Sheriff's Patrol Officers,9,1,3,13,0,4
"Political Science Teachers, Postsecondary",0,3,7,8,4,0
Political Scientists,0,0,1,7,6,0
Postal Service Clerks,0,4,7,6,1,1
Postal Service Mail Carriers,3,7,5,4,1,1
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",3,3,2,1,1,4
Postmasters and Mail Superintendents,0,0,1,9,1,2
"Potters, Manufacturing",4,6,3,8,2,0
"Pourers and Casters, Metal",4,2,1,7,1,1
Power Distributors and Dispatchers,0,0,1,7,0,6
Power Plant Operators,1,0,0,17,1,11
Precision Agriculture Technicians,1,1,2,4,4,10
Prepress Technicians and Workers,1,2,4,1,1,6
"Preschool Teachers, Except Special Education",9,6,16,3,0,0
"Pressers, Textile, Garment, and Related Materials",8,7,5,8,0,0
Preventive Medicine Physicians,0,0,0,12,2,1
Print Binding and Finishing Workers,6,6,6,2,4,1
Printing Press Operators,4,2,3,5,5,4
Private Detectives and Investigators,0,1,1,8,1,3
Probation Officers and Correctional Treatment Specialists,0,1,2,16,0,2
Procurement Clerks,0,0,4,7,8,0
Producers and Directors,0,0,4,19,6,1
"Production, Planning, and Expediting Clerks",0,1,3,6,7,0
Project Management Specialists,0,0,2,7,11,0
Proofreaders and Copy Markers,0,1,2,0,7,1
"Property, Real Estate, and Community Association Managers",2,0,5,19,1,0
Prosthodontists,7,1,0,2,0,2
Psychiatric Aides,7,4,3,2,0,1
Psychiatric Technicians,3,1,5,6,0,1
Psychiatrists,0,1,1,7,1,2
"Psychology Teachers, Postsecondary",0,2,7,13,6,1
Public Relations Managers,0,0,5,14,0,1
Public Relations Specialists,0,0,3,13,2,0
Public Safety Telecommunicators,0,1,1,4,2,10
"Pump Operators, Except Wellhead Pumpers",1,2,1,4,1,5
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2,0,0,12,4,1
Purchasing Managers,0,0,1,12,5,0
Quality Control Analysts,1,0,3,20,2,0
Quality Control Systems Managers,0,0,2,17,8,0
Radiation Therapists,3,1,1,12,1,4
Radio Frequency Identification Device Specialists,1,0,4,2,7,7
"Radio, Cellular, and Tower Equipment Installers and Repairers",19,1,0,8,0,2
Radiologic Technologists and Technicians,3,2,4,9,2,10
Radiologists,0,0,3,20,0,7
Rail Car Repairers,9,1,6,4,0,0
"Rail Yard Engineers, Dinkey Operators, and Hostlers",5,3,0,12,2,1
Rail-Track Laying and Maintenance Equipment Operators,10,7,0,8,0,1
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",11,1,1,12,0,1
Railroad Conductors and Yardmasters,0,2,4,13,0,1
Range Managers,1,0,4,11,0,0
Real Estate Brokers,0,1,3,10,0,3
Real Estate Sales Agents,1,0,13,17,2,0
Receptionists and Information Clerks,0,2,4,3,7,2
Recreation Workers,5,0,12,5,2,0
"Recreation and Fitness Studies Teachers, Postsecondary",0,0,10,8,5,0
Recreational Therapists,0,1,4,5,0,1
Recreational Vehicle Service Technicians,7,1,6,3,0,0
Recycling Coordinators,0,0,1,16,4,2
Recycling and Reclamation Workers,5,0,2,7,0,0
"Refractory Materials Repairers, Except Brickmasons",7,2,0,1,0,0
Refuse and Recyclable Material Collectors,5,3,0,3,2,1
Registered Nurses,4,2,6,12,0,3
Regulatory Affairs Managers,0,0,0,26,0,1
Regulatory Affairs Specialists,0,0,0,28,2,0
Rehabilitation Counselors,0,1,10,5,0,1
Reinforcing Iron and Rebar Workers,6,0,1,0,0,0
Remote Sensing Scientists and Technologists,1,0,6,6,7,4
Remote Sensing Technicians,1,1,4,1,8,6
Reservation and Transportation Ticket Agents and Travel Clerks,1,0,1,4,9,6
Residential Advisors,3,1,13,9,3,1
Respiratory Therapists,4,5,5,4,0,4
Retail Loss Prevention Specialists,1,0,4,13,1,2
Retail Salespersons,0,6,7,6,4,1
Riggers,11,1,0,2,0,0
Robotics Engineers,0,0,0,14,2,8
Robotics Technicians,2,1,3,5,3,8
"Rock Splitters, Quarry",6,0,0,3,0,0
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",6,1,3,7,0,2
"Roof Bolters, Mining",6,2,1,5,0,0
Roofers,25,1,1,0,0,0
"Rotary Drill Operators, Oil and Gas",11,1,0,4,1,3
"Roustabouts, Oil and Gas",9,0,1,1,0,2
Sailors and Marine Oilers,14,3,2,8,1,0
Sales Engineers,0,0,7,10,6,2
Sales Managers,1,0,2,11,3,0
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",0,1,1,8,3,2
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0,2,4,8,1,3
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0,1,10,11,10,1
"Sawing Machine Setters, Operators, and Tenders, Wood",5,4,2,10,0,1
School Bus Monitors,6,4,4,2,0,2
School Psychologists,0,1,9,9,0,0
Search Marketing Strategists,0,0,3,19,8,6
"Secondary School Teachers, Except Special and Career/Technical Education",2,3,22,4,0,1
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0,1,7,12,9,2
"Securities, Commodities, and Financial Services Sales Agents",0,0,0,29,1,0
Security Guards,3,1,0,4,1,5
Security Management Specialists,1,0,1,16,0,5
Security Managers,0,0,0,23,1,4
Security and Fire Alarm Systems Installers,4,1,5,2,1,3
Segmental Pavers,9,1,2,0,0,0
Self-Enrichment Teachers,0,1,15,5,8,1
Semiconductor Processing Technicians,1,1,1,11,1,5
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2,3,3,3,0,9
Septic Tank Servicers and Sewer Pipe Cleaners,15,5,0,2,0,0
"Service Unit Operators, Oil and Gas",6,0,3,7,1,2
Set and Exhibit Designers,0,0,14,11,2,0
"Sewers, Hand",10,1,0,0,0,0
Sewing Machine Operators,6,4,3,8,2,3
Shampooers,1,1,0,0,1,1
Sheet Metal Workers,8,3,4,2,1,1
Ship Engineers,5,0,2,5,2,3
"Shipping, Receiving, and Inventory Clerks",2,1,2,2,4,0
Shoe Machine Operators and Tenders,0,8,3,6,0,2
Shoe and Leather Workers and Repairers,13,2,5,1,3,2
Shuttle Drivers and Chauffeurs,3,3,5,11,1,3
Signal and Track Switch Repairers,10,1,0,0,1,0
Skincare Specialists,7,3,5,2,0,1
Slaughterers and Meat Packers,2,1,0,9,0,2
Social Science Research Assistants,0,1,7,6,6,2
"Social Work Teachers, Postsecondary",1,0,10,10,3,0
Social and Community Service Managers,0,0,4,12,0,0
Social and Human Service Assistants,1,5,8,4,1,0
Sociologists,0,1,2,6,6,0
"Sociology Teachers, Postsecondary",0,1,10,7,6,0
Software Developers,0,0,1,4,9,3
Software Quality Assurance Analysts and Testers,1,1,1,5,16,6
Soil and Plant Scientists,1,0,7,16,2,1
Solar Energy Installation Managers,1,0,1,10,1,2
Solar Energy Systems Engineers,0,0,1,5,0,7
Solar Photovoltaic Installers,2,3,3,7,1,10
Solar Sales Representatives and Assessors,0,1,1,4,2,5
Solar Thermal Installers and Technicians,8,2,4,1,0,6
Sound Engineering Technicians,2,1,4,1,0,6
Spa Managers,0,0,7,6,7,1
"Special Education Teachers, Elementary School",0,2,23,5,0,0
"Special Education Teachers, Kindergarten",2,2,21,3,0,2
"Special Education Teachers, Middle School",3,4,26,6,0,1
"Special Education Teachers, Preschool",3,6,22,4,0,1
"Special Education Teachers, Secondary School",2,1,31,4,1,1
Special Effects Artists and Animators,0,0,0,3,1,9
Speech-Language Pathologists,0,2,10,7,2,2
Speech-Language Pathology Assistants,0,2,6,3,0,0
Sports Medicine Physicians,4,1,1,21,0,0
Stationary Engineers and Boiler Operators,5,4,2,11,0,3
Statistical Assistants,0,0,3,1,10,0
Statisticians,0,0,1,1,15,2
Stockers and Order Fillers,5,8,7,0,5,5
"Stone Cutters and Carvers, Manufacturing",8,2,4,2,0,0
Stonemasons,14,2,0,0,0,0
Structural Iron and Steel Workers,15,0,0,2,1,1
Structural Metal Fabricators and Fitters,10,3,4,4,0,2
Substance Abuse and Behavioral Disorder Counselors,1,3,11,6,0,2
"Substitute Teachers, Short-Term",4,6,4,1,1,2
Subway and Streetcar Operators,2,1,0,4,0,3
Supply Chain Managers,1,0,3,16,5,5
Surgical Assistants,11,0,5,9,0,3
Surgical Technologists,8,0,1,5,0,2
Survey Researchers,0,0,4,7,5,0
Surveying and Mapping Technicians,4,0,7,6,6,7
Surveyors,2,0,3,13,3,3
Sustainability Specialists,0,1,0,9,4,0
"Switchboard Operators, Including Answering Service",1,1,2,1,8,6
"Tailors, Dressmakers, and Custom Sewers",13,4,0,2,2,1
Talent Directors,0,2,5,6,2,0
"Tank Car, Truck, and Ship Loaders",5,1,2,8,1,2
Tapers,8,6,1,1,0,0
"Tax Examiners and Collectors, and Revenue Agents",1,1,1,16,1,1
Tax Preparers,0,1,1,7,1,2
Taxi Drivers,2,4,3,5,0,2
"Teaching Assistants, Postsecondary",1,2,6,3,7,1
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",4,8,9,2,1,4
"Teaching Assistants, Special Education",4,7,11,4,0,4
Team Assemblers,1,1,3,4,1,1
Technical Writers,0,1,2,2,10,0
Telecommunications Engineering Specialists,2,0,2,10,5,7
"Telecommunications Equipment Installers and Repairers, Except Line Installers",10,7,8,6,3,5
Telecommunications Line Installers and Repairers,15,3,0,1,0,0
Telemarketers,0,0,0,8,3,1
Telephone Operators,1,0,1,5,3,4
Tellers,0,2,6,12,4,4
Terrazzo Workers and Finishers,22,1,1,2,0,0
Textile Bleaching and Dyeing Machine Operators and Tenders,4,2,4,11,0,2
"Textile Cutting Machine Setters, Operators, and Tenders",3,2,3,7,2,1
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",3,0,2,10,1,3
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",3,2,7,7,2,2
Tile and Stone Setters,16,5,3,0,0,1
Timing Device Assemblers and Adjusters,8,5,3,0,1,0
Tire Builders,4,3,0,11,1,1
Tire Repairers and Changers,14,3,2,3,2,0
"Title Examiners, Abstractors, and Searchers",0,0,1,15,0,0
"Tool Grinders, Filers, and Sharpeners",3,7,1,5,0,2
Tool and Die Makers,2,2,3,4,1,5
Tour Guides and Escorts,4,3,7,3,1,1
Traffic Technicians,5,1,3,6,1,7
Training and Development Managers,0,0,1,7,2,2
Training and Development Specialists,0,0,5,7,7,1
Transit and Railroad Police,1,0,0,11,0,0
Transportation Engineers,0,0,4,19,2,1
Transportation Inspectors,1,1,5,9,1,0
Transportation Planners,0,0,0,18,3,1
Transportation Security Screeners,4,1,0,14,0,7
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",0,1,1,9,1,2
"Transportation, Storage, and Distribution Managers",0,0,2,23,2,3
Travel Agents,0,1,1,2,3,1
Travel Guides,4,0,5,5,2,1
Treasurers and Controllers,0,0,1,19,2,0
Tree Trimmers and Pruners,21,1,1,0,1,0
Tutors,0,0,9,1,8,1
"Umpires, Referees, and Other Sports Officials",0,2,1,8,4,1
Upholsterers,11,6,4,0,0,1
Urban and Regional Planners,0,0,6,17,2,0
Urologists,3,0,1,8,0,2
"Ushers, Lobby Attendants, and Ticket Takers",6,5,5,5,0,2
Validation Engineers,2,0,3,11,3,2
Veterinarians,4,0,3,9,3,2
Veterinary Assistants and Laboratory Animal Caretakers,9,6,5,4,2,2
Veterinary Technologists and Technicians,12,2,4,8,1,4
Video Game Designers,0,0,4,6,13,1
Waiters and Waitresses,9,5,3,3,4,1
Watch and Clock Repairers,5,4,2,2,1,1
Water Resource Specialists,0,0,2,13,4,2
Water and Wastewater Treatment Plant and System Operators,1,1,1,3,0,2
Water/Wastewater Engineers,0,0,1,16,4,7
Weatherization Installers and Technicians,7,5,3,3,1,1
Web Administrators,0,0,2,15,15,3
Web Developers,0,0,2,8,17,2
Web and Digital Interface Designers,0,1,5,7,12,5
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",1,1,4,4,4,4
"Welders, Cutters, Solderers, and Brazers",10,4,3,8,1,4
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",3,4,0,15,2,5
Wellhead Pumpers,5,0,1,5,0,3
"Wholesale and Retail Buyers, Except Farm Products",0,0,4,11,3,2
Wind Energy Development Managers,0,0,0,14,0,1
Wind Energy Engineers,0,0,0,9,0,7
Wind Energy Operations Managers,0,0,3,9,4,0
Wind Turbine Service Technicians,6,0,4,1,0,1
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",3,6,3,10,0,3
Word Processors and Typists,0,3,1,1,11,3
Writers and Authors,0,0,1,6,13,0
Zoologists and Wildlife Biologists,3,1,2,5,2,1
