occupation,A0,A1,A2,A3,A4,P
Cashiers,2,6,5,4,8,3
Cement Masons and Concrete Finishers,21,0,0,4,0,1
Chefs and Head Cooks,1,0,10,8,2,0
Chemical Engineers,0,0,0,11,1,2
Chemical Equipment Operators and Tenders,2,2,1,15,0,3
Chemical Plant and System Operators,1,2,0,12,1,3
Chemical Technicians,0,1,0,12,3,0
"Chemistry Teachers, Postsecondary",0,2,9,10,7,0
Chemists,0,0,1,10,0,1
Chief Executives,0,0,0,29,2,0
Chief Sustainability Officers,0,0,0,14,4,0
"Child, Family, and School Social Workers",0,1,9,11,0,0
Childcare Workers,13,3,5,3,0,0
Chiropractors,7,0,0,3,0,1
Choreographers,1,0,12,4,1,0
Civil Engineering Technologists and Technicians,1,0,3,8,2,0
Civil Engineers,0,0,1,14,0,1
"Claims Adjusters, Examiners, and Investigators",0,0,2,25,2,0
Cleaners of Vehicles and Equipment,7,5,1,5,0,2
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0,2,2,5,1,1
Clergy,2,3,9,5,1,1
Climate Change Policy Analysts,0,0,0,8,6,0
Clinical Data Managers,0,0,1,13,3,4
Clinical Neuropsychologists,0,0,7,5,1,5
Clinical Nurse Specialists,2,1,4,21,1,1
Clinical Research Coordinators,1,1,4,24,1,2
Clinical and Counseling Psychologists,0,1,12,16,1,0
Coaches and Scouts,1,1,9,12,3,1
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2,3,1,21,0,2
"Coil Winders, Tapers, and Finishers",2,4,1,3,1,0
"Coin, Vending, and Amusement Machine Servicers and Repairers",6,6,2,1,2,1
Commercial Divers,14,1,0,7,0,1
Commercial Pilots,1,1,0,12,1,9
Commercial and Industrial Designers,1,0,3,6,5,2
"Communications Teachers, Postsecondary",1,0,9,7,5,0
Community Health Workers,5,3,12,6,1,1
Compensation and Benefits Managers,0,0,1,19,2,0
"Compensation, Benefits, and Job Analysis Specialists",0,0,1,18,3,0
Compliance Managers,0,0,1,27,1,0
Compliance Officers,0,0,1,14,1,0
Computer Hardware Engineers,0,0,1,8,4,5
Computer Network Architects,0,0,6,11,12,4
Computer Network Support Specialists,1,0,4,7,7,7
Computer Numerically Controlled Tool Operators,0,3,3,9,2,10
Computer Numerically Controlled Tool Programmers,1,0,0,4,5,6
Computer Programmers,0,0,1,2,10,4
"Computer Science Teachers, Postsecondary",0,2,5,12,7,0
Computer Systems Analysts,0,0,2,6,11,3
Computer Systems Engineers/Architects,0,0,1,7,10,10
Computer User Support Specialists,1,1,5,2,6,1
Computer and Information Research Scientists,0,0,0,6,8,1
Computer and Information Systems Managers,0,0,1,11,4,1
"Computer, Automated Teller, and Office Machine Repairers",5,5,4,6,2,3
Concierges,5,3,2,5,2,1
Conservation Scientists,2,0,5,20,2,1
Construction Laborers,20,0,0,4,0,3
Construction Managers,0,0,2,20,2,1
Construction and Building Inspectors,2,1,4,11,0,1
Continuous Mining Machine Operators,8,1,0,6,0,0
"Control and Valve Installers and Repairers, Except Mechanical Door",13,6,5,4,2,2
Conveyor Operators and Tenders,5,2,1,4,1,7
"Cooks, Fast Food",2,5,5,5,2,0
"Cooks, Institution and Cafeteria",1,3,6,3,2,2
"Cooks, Private Household",5,2,4,0,2,0
"Cooks, Restaurant",7,1,3,6,2,1
"Cooks, Short Order",3,2,4,1,1,0
Cooling and Freezing Equipment Operators and Tenders,2,6,2,6,0,2
Coroners,3,0,2,15,0,0
Correctional Officers and Jailers,4,5,3,14,0,1
Correspondence Clerks,0,0,3,6,8,0
Cost Estimators,1,0,2,3,8,0
Costume Attendants,1,8,7,2,3,0
Counter and Rental Clerks,2,2,6,2,4,0
Couriers and Messengers,3,0,5,1,0,6
Court Reporters and Simultaneous Captioners,0,2,1,9,0,2
"Court, Municipal, and License Clerks",0,0,4,23,2,1
Craft Artists,5,3,3,1,3,1
Crane and Tower Operators,4,0,1,4,0,2
Credit Analysts,0,0,0,8,1,2
"Credit Authorizers, Checkers, and Clerks",0,2,1,11,2,0
Credit Counselors,0,0,4,14,5,0
Crematory Operators,6,1,0,5,0,0
"Criminal Justice and Law Enforcement Teachers, Postsecondary",0,4,5,7,7,0
Critical Care Nurses,2,3,5,12,0,7
Crossing Guards and Flaggers,6,1,0,2,0,3
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",1,6,1,8,1,4
Curators,0,1,7,6,1,0
Customer Service Representatives,0,0,3,5,5,0
Customs Brokers,0,0,2,19,1,1
Customs and Border Protection Officers,4,0,0,7,0,0
"Cutters and Trimmers, Hand",4,6,0,2,3,3
"Cutting and Slicing Machine Setters, Operators, and Tenders",5,4,7,8,0,1
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",3,4,8,10,1,5
Cytogenetic Technologists,1,2,5,17,1,4
Cytotechnologists,1,1,1,6,1,3
Dancers,11,2,1,0,0,0
Data Entry Keyers,0,2,1,4,2,0
Data Scientists,0,0,1,4,8,3
Data Warehousing Specialists,0,0,1,6,5,6
Database Administrators,0,1,1,8,5,3
Database Architects,0,0,0,9,11,5
Demonstrators and Product Promoters,5,5,6,0,3,2
Dental Assistants,5,1,4,1,0,5
Dental Hygienists,10,2,0,1,2,1
Dental Laboratory Technicians,6,3,1,2,0,5
"Dentists, General",10,0,0,5,2,3
Dermatologists,5,2,2,8,0,1
"Derrick Operators, Oil and Gas",9,0,1,4,0,1
Desktop Publishers,0,2,2,1,5,8
Detectives and Criminal Investigators,4,1,4,19,1,1
Diagnostic Medical Sonographers,5,4,3,3,1,4
Dietetic Technicians,0,0,6,5,2,0
Dietitians and Nutritionists,0,2,4,18,4,0
Digital Forensics Analysts,0,0,0,13,2,5
Dining Room and Cafeteria Attendants and Bartender Helpers,4,12,4,1,1,1
"Directors, Religious Activities and Education",1,1,6,9,2,0
"Disc Jockeys, Except Radio",2,3,5,2,6,1
Dishwashers,3,6,0,0,3,1
"Dispatchers, Except Police, Fire, and Ambulance",0,0,2,6,1,3
Document Management Specialists,0,0,2,6,8,7
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",7,2,2,1,0,0
Dredge Operators,3,0,0,2,0,1
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3,3,6,5,0,0
Driver/Sales Workers,2,2,2,4,1,0
Drywall and Ceiling Tile Installers,19,5,2,0,0,0
"Earth Drillers, Except Oil and Gas",12,2,2,8,0,5
